awardYear,category,categoryFullName,dateAwarded,prizeAmount,prizeAmountAdjusted,linksHref,laureateID,laureateName,laureateSortOrder
1952,Literature,The Nobel Prize in Literature,1952-11-06,171135,2884847,https://api.nobelprize.org/2/nobelPrize/lit/1952,623,François Mauriac,1
1952,Peace,The Nobel Peace Prize,1953-10-30,171135,2884847,https://api.nobelprize.org/2/nobelPrize/pea/1952,513,Albert Schweitzer,1
1952,Physics,The Nobel Prize in Physics,1952-11-06,171135,2884847,https://api.nobelprize.org/2/nobelPrize/phy/1952,58,Felix Bloch,1
1952,Physics,The Nobel Prize in Physics,1952-11-06,171135,2884847,https://api.nobelprize.org/2/nobelPrize/phy/1952,59,E. M. Purcell,2
1952,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1952-10-23,171135,2884847,https://api.nobelprize.org/2/nobelPrize/med/1952,353,Selman A. Waksman,1
1953,Chemistry,The Nobel Prize in Chemistry,1953-11-04,175293,2908768,https://api.nobelprize.org/2/nobelPrize/che/1953,216,Hermann Staudinger,1
1953,Literature,The Nobel Prize in Literature,1953-10-15,175293,2908768,https://api.nobelprize.org/2/nobelPrize/lit/1953,624,Winston Churchill,1
1953,Peace,The Nobel Peace Prize,1953-10-30,175293,2908768,https://api.nobelprize.org/2/nobelPrize/pea/1953,514,George C. Marshall,1
1953,Physics,The Nobel Prize in Physics,1953-11-04,175293,2908768,https://api.nobelprize.org/2/nobelPrize/phy/1953,60,Frits Zernike,1
1953,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1953-10-22,175293,2908768,https://api.nobelprize.org/2/nobelPrize/med/1953,354,Hans Krebs,1
1953,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1953-10-22,175293,2908768,https://api.nobelprize.org/2/nobelPrize/med/1953,355,Fritz Lipmann,2
1954,Chemistry,The Nobel Prize in Chemistry,1954-11-03,181647,2990839,https://api.nobelprize.org/2/nobelPrize/che/1954,217,Linus Pauling,1
1954,Literature,The Nobel Prize in Literature,1954-10-28,181647,2990839,https://api.nobelprize.org/2/nobelPrize/lit/1954,625,Ernest Hemingway,1
1954,Peace,The Nobel Peace Prize,1955-11-05,181647,2990839,https://api.nobelprize.org/2/nobelPrize/pea/1954,515,,1
1954,Physics,The Nobel Prize in Physics,1954-11-03,181647,2990839,https://api.nobelprize.org/2/nobelPrize/phy/1954,61,Max Born,1
1954,Physics,The Nobel Prize in Physics,1954-11-03,181647,2990839,https://api.nobelprize.org/2/nobelPrize/phy/1954,62,Walther Bothe,2
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1954-10-21,181647,2990839,https://api.nobelprize.org/2/nobelPrize/med/1954,356,John F. Enders,1
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1954-10-21,181647,2990839,https://api.nobelprize.org/2/nobelPrize/med/1954,357,Thomas H. Weller,2
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1954-10-21,181647,2990839,https://api.nobelprize.org/2/nobelPrize/med/1954,358,Frederick C. Robbins,3
1955,Chemistry,The Nobel Prize in Chemistry,1955-11-02,190214,3037703,https://api.nobelprize.org/2/nobelPrize/che/1955,218,Vincent du Vigneaud,1
1955,Literature,The Nobel Prize in Literature,1955-10-27,190214,3037703,https://api.nobelprize.org/2/nobelPrize/lit/1955,626,Halldór Laxness,1
1955,Physics,The Nobel Prize in Physics,1955-11-02,190214,3037703,https://api.nobelprize.org/2/nobelPrize/phy/1955,63,Willis E. Lamb,1
1955,Physics,The Nobel Prize in Physics,1955-11-02,190214,3037703,https://api.nobelprize.org/2/nobelPrize/phy/1955,64,Polykarp Kusch,2
1955,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1955-10-20,190214,3037703,https://api.nobelprize.org/2/nobelPrize/med/1955,359,Hugo Theorell,1
1956,Chemistry,The Nobel Prize in Chemistry,1956-11-01,200123,3057995,https://api.nobelprize.org/2/nobelPrize/che/1956,219,Sir Cyril Hinshelwood,1
1956,Chemistry,The Nobel Prize in Chemistry,1956-11-01,200123,3057995,https://api.nobelprize.org/2/nobelPrize/che/1956,220,Nikolay Semenov,2
1956,Literature,The Nobel Prize in Literature,1956-10-25,200123,3057995,https://api.nobelprize.org/2/nobelPrize/lit/1956,627,Juan Ramón Jiménez,1
1956,Physics,The Nobel Prize in Physics,1956-11-01,200123,3057995,https://api.nobelprize.org/2/nobelPrize/phy/1956,65,William B. Shockley,1
1956,Physics,The Nobel Prize in Physics,1956-11-01,200123,3057995,https://api.nobelprize.org/2/nobelPrize/phy/1956,66,John Bardeen,2
1956,Physics,The Nobel Prize in Physics,1956-11-01,200123,3057995,https://api.nobelprize.org/2/nobelPrize/phy/1956,67,Walter H. Brattain,3
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1956-10-18,200123,3057995,https://api.nobelprize.org/2/nobelPrize/med/1956,360,André F. Cournand,1
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1956-10-18,200123,3057995,https://api.nobelprize.org/2/nobelPrize/med/1956,361,Werner Forssmann,2
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1956-10-18,200123,3057995,https://api.nobelprize.org/2/nobelPrize/med/1956,362,Dickinson W. Richards,3
1957,Chemistry,The Nobel Prize in Chemistry,1957-10-31,208629,3056055,https://api.nobelprize.org/2/nobelPrize/che/1957,221,Lord Todd,1
1957,Literature,The Nobel Prize in Literature,1957-10-17,208629,3056055,https://api.nobelprize.org/2/nobelPrize/lit/1957,628,Albert Camus,1
1957,Peace,The Nobel Peace Prize,1957-10-03,208629,3056055,https://api.nobelprize.org/2/nobelPrize/pea/1957,516,Lester Bowles Pearson,1
1957,Physics,The Nobel Prize in Physics,1957-10-31,208629,3056055,https://api.nobelprize.org/2/nobelPrize/phy/1957,68,Chen Ning Yang,1
1957,Physics,The Nobel Prize in Physics,1957-10-31,208629,3056055,https://api.nobelprize.org/2/nobelPrize/phy/1957,69,Tsung-Dao Lee,2
1957,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1957-10-24,208629,3056055,https://api.nobelprize.org/2/nobelPrize/med/1957,363,Daniel Bovet,1
